candidate_id,rank,score,reasoning
CAND_0017590,33,0.8411,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0081709,34,0.8400,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0013122,35,0.8393,"Semantic Capability Bonus, Bonus: lora, Bonus: qlora, Active Seeker Boost"
CAND_0008517,36,0.8389,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0094165,37,0.8373,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0024549,38,0.8367,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0018499,39,0.8354,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0072803,40,0.8351,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0010283,41,0.8347,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0043381,42,0.8345,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0043450,43,0.8338,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0087744,44,0.8337,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0015760,45,0.8326,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0015578,46,0.8315,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0055992,47,0.8312,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0014743,48,0.8310,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0065561,49,0.8304,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0070525,50,0.8296,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0028793,51,0.8293,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Bonus: qlora, Active Seeker Boost"
CAND_0046459,52,0.8275,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0014063,53,0.8272,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0069905,54,0.8270,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0096801,55,0.8267,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0011643,56,0.8257,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0074317,57,0.8247,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0052744,58,0.8246,"Semantic Capability Bonus, Bonus: qlora, Bonus: peft, Active Seeker Boost"
CAND_0073620,59,0.8229,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0093401,60,0.8225,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0064130,61,0.8224,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0067605,62,0.8217,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0067866,63,0.8204,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0046132,64,0.8202,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0076035,65,0.8201,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0045286,66,0.8192,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0072547,67,0.8190,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0040887,68,0.8178,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0060257,69,0.8176,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0006209,70,0.8173,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0007008,71,0.8173,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0023587,72,0.8173,"Semantic Capability Bonus, Bonus: peft, Bonus: lora, Active Seeker Boost"
CAND_0069643,73,0.8168,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0071747,74,0.8161,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0078002,75,0.8154,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0043829,76,0.8150,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0066479,77,0.8139,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0019447,78,0.8125,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0021442,79,0.8123,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0090844,80,0.8116,"Semantic Capability Bonus, Bonus: qlora, Bonus: peft, Active Seeker Boost"
CAND_0002344,81,0.8108,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0055960,82,0.8107,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0094685,83,0.8084,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0054859,84,0.8083,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0069248,85,0.8082,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0068910,86,0.8081,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0073883,87,0.8073,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0015097,88,0.8069,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0074024,89,0.8059,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0047302,90,0.8053,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0080189,91,0.8053,"Semantic Capability Bonus, Bonus: peft, Bonus: qlora, Active Seeker Boost"
CAND_0090155,92,0.8042,"Semantic Capability Bonus, Bonus: peft, Bonus: qlora, Active Seeker Boost"
CAND_0080344,93,0.8038,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0074225,94,0.8035,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0079550,95,0.8035,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0034177,96,0.8034,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0042564,97,0.8027,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0073314,98,0.8000,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0070514,99,0.7995,"Semantic Capability Bonus, Bonus: peft, Bonus: lora, Active Seeker Boost"
CAND_0008918,100,0.7991,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
